1,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread,87,AFN,15,Retail,5,KG,2,2014,50,WFP
238,Syrian Arab Republic,2836,City-Damascus,1112,Sheikh Sa'ad,52,Rice,78,SYP,15,Retail,5,KG,7,2012,55,WFP
226,Somalia,2705,Woqooyi Galbeed,1412,Berbera,58,Wheat flour,79,SOS,15,Retail,5,KG,11,2016,4000,WFP
59,Congo,978,Pool,701,Moungali,58,Wheat flour,48,XAF,15,Retail,5,KG,2,2011,604,WFP 
182,Nigeria,65709,Sokoto,1037,Illela (CBM),51,Maize,95,NGN,14,Wholesale,5,KG,1,2002,153.3485,SIMA - Niger
